Title,Conference
Anthropocentric Data Systems.,VLDB
Estimating clustering coefficients and size of social networks via random walk.,WWW
CALMS: Cloud-assisted live media streaming for globalized demands with time/region diversities.,INFOCOM
Quadrature generation techniques for frequency multiplication based oscillators.,ISCAS
Topology design for fast convergence of network consensus algorithms.,ISCAS
Analysis of power supply gain of CMOS bandgap references.,ISCAS
A Scalable Method for Access Control in Location-Based Broadcast Services.,INFOCOM
A novel Fisher discriminant for biometrics recognition: 2DPCA plus 2DFLD.,ISCAS
A framework for benchmarking entity-annotation systems.,WWW
A physically based approach to 2-D shape blending.,SIGGRAPH
Effects of the recession on public mood in the UK.,WWW
GIO: a semantic web application using the information grid framework.,WWW
Maximum likelihood disjunctive decomposition to reduced multirooted DAG for FIR filter design.,ISCAS
SocioCrowd: a social-network-based framework for crowd simulation.,SIGGRAPH
A MATLAB based optimum multiband FIR filters design program following the original idea of the Remez multiple exchange algorithm.,ISCAS
Touchy.Internet: a cybernetics system for human-pet interaction through the Internet.,SIGGRAPH
Social status and role analysis of palin's email network.,WWW
A fast hash tree generator for Merkle signature scheme.,ISCAS
GPU Powered Artificial Immune System for Visual Applications.,ISCAS
Linear combination of transformations.,SIGGRAPH
10GBase-LX4 Limiting Amplifier in 0.18 &micro;m CMOS Digital Process with Tunable Shunt-peaking.,ISCAS
Randomization tests for distinguishing social influence and homophily effects.,WWW
Pricing algorithms for the day-ahead electricity market with flexible consumer participation.,INFOCOM
"WS-CatalogNet: An Infrastructure for Creating, Peering, and Querying e-Catalog Communities.",VLDB
Intelligent ad resizing.,WWW
A 4-Kb low power 4-T SRAM design with negative word-line gate drive.,ISCAS
A memory-efficient continuous-flow FFT processor for Wimax application.,ISCAS
Statistical Multiplexing Over DSL Networks.,INFOCOM
A Novel Quantitative Approach For Measuring Network Security.,INFOCOM
Comparative analysis of contrast enhancement algorithms in surveillance imaging.,ISCAS
Fast video coding based on Gaussian model of DCT coefficients.,ISCAS
Non-linear aperture for stylized depth of field.,SIGGRAPH
"MegaMind: fire, smoke and data.",SIGGRAPH
Simulation of object and human skin formations in a grasping task.,SIGGRAPH
Wireless integrated circuit for the acquisition of electrocorticogram signals.,ISCAS
Privacy nudges for social media: an exploratory Facebook study.,WWW
Secure continuous aggregation via sampling-based verification in wireless sensor networks.,INFOCOM
On rigorous integration of piece-wise linear continuous systems.,ISCAS
Visibly pushdown automata for streaming XML.,WWW
Video Multicast in (Large) Local Area Networks.,INFOCOM
Process-insensitive modulated-clock voltage comparator.,ISCAS
An Efficient Prony's Method for Time-varying Power System Harmonic Estimation.,ISCAS
A novel CAVLC architecture for H.264 Video encoding at high bit-rate.,ISCAS
Tongue visualization for specified speech task.,SIGGRAPH
Smoother subsurface scattering.,SIGGRAPH
Core-Stateless Guaranteed Rate Scheduling Algorithms.,INFOCOM
A Novel Ray-space based Color Correction Algorithm for Multi-view Video.,ISCAS
Visualizing tags over time.,WWW
Driver's drowsiness estimation by combining EEG signal analysis and ICA-based fuzzy neural networks.,ISCAS
Towards a programming language for services computing.,WWW
Practical routing-layer support for scalable multihoming.,INFOCOM
MRsionCase: a glasses-free mixed reality showcase for surrounding multiple viewers.,SIGGRAPH
An adaptive maximum power point tracker for maximising solar cell efficiency in wireless sensor nodes.,ISCAS
An All-digital Skew-adaptive Clock Scheduling Algorithm for Heterogeneous Multiprocessor Systems on Chips (MPSoCs).,ISCAS
"Interactive lighting of effects using point clouds in ""Bolt"".",SIGGRAPH
Keep your friends close: Incorporating trust into social network-based Sybil defenses.,INFOCOM
A Database Index to Large Biological Sequences.,VLDB
Csurf: a context-driven non-visual web-browser.,WWW
Rejecting the attack: Source authentication for Wi-Fi management frames using CSI Information.,INFOCOM
Computer-assisted animation of line and paint in Disney's <i>Paperman</i>.,SIGGRAPH
QoS Routing with Performance-Dependent Costs.,INFOCOM
A Concurrent Database Manipulation Problem: Binary Search Trees (Abstract).,VLDB
A reconfigurable MAC architecture implemented with mixed-Vt standard cell library.,ISCAS
MEMS automotive collision avoidence radar beamformer.,ISCAS
Execution time comparison of lifting-based 2D wavelet transforms implementations on a VLIW DSP.,ISCAS
SPARQL basic graph pattern optimization using selectivity estimation.,WWW
A wide-tuning quasi-type-I PLL with voltage-mode frequency acquisition aid.,ISCAS
Animating art history: building a bridge between disciplines.,SIGGRAPH
V-buffer: visible volume rendering.,SIGGRAPH
The Magic of Duplicates and Aggregates.,VLDB
Personalized pocket directories for mobile devices.,WWW
Record Subtype Facilities in Database Systems.,VLDB
Illumination in diverse codimensions.,SIGGRAPH
Joint optimal scheduling and routing for maximum network throughput.,INFOCOM
A CMOS high IIP2 mixer for multi-standard receivers.,ISCAS
Partitioning and ordering large radiosity computations.,SIGGRAPH
Generalized arbitrary resizing for video transcoding.,ISCAS
On the impact of global information on diffusion of innovations over social networks.,INFOCOM
Analysis for Signal and Power Integrity Using the Multilayered Finite Difference Method.,ISCAS
Probability Distribution of Blackouts in Complex Power Networks.,ISCAS
Write-Optimized B-Trees.,VLDB
Cross-Regulation-Suppression control scheme for CCM Single-Inductor-Dual-Output buck converter with ordered-power-distributive control.,ISCAS
A New 10 Gbps Traffic Management algorithm for High-speed Networks.,ISCAS
Bifurcations and chaos in electrostatic vibration energy harvesters.,ISCAS
A proposal of a new blind equalizer using output signals of decision device.,ISCAS
Distributed video coding using wavelet.,ISCAS
Using eye tracking to analyze stereoscopic filmmaking.,SIGGRAPH
Porqpine: A Distributed and Collaborative Search Engine.,WWW
A time-domain gradient-detection architecture for VLSI analog motion sensors.,ISCAS
High dynamic range imaging using coded electronic shutter.,SIGGRAPH
Automated semantic web services orchestration via concept covering.,WWW
Incremental Maintenance for Non-Distributive Aggregate Functions.,VLDB
A simple modeling of the early voltage of MOSFETs in weak and moderate inversion.,ISCAS
Towards a Common Infrastructure to Support Heterogeneous Learning Experiences.,WWW
Plurality: a context-aware personalized tagging system.,WWW
Realistic and Efficient Multi-Channel Communications in Wireless Sensor Networks.,INFOCOM
Localization in 3D surface sensor networks: Challenges and solutions.,INFOCOM
SAT-based ATPG for Path Delay Faults in Sequential Circuits.,ISCAS
Spectrally optimal sampling for distribution ray tracing.,SIGGRAPH
Cloudy: A Modular Cloud Storage System.,VLDB
Design of OOK system for wireless capsule endoscopy.,ISCAS
Gesture-world technology: 3D hand pose estimation system for unspecified users using a compact high-speed camera.,SIGGRAPH
Generalizations of Oja's Learning Rule to Non-Symmetric Matrices.,ISCAS
Content-aware caching and traffic management in content distribution networks.,INFOCOM
FALCON: Feedback Adaptive Loop for Content-Based Retrieval.,VLDB
Image based flow visualization.,SIGGRAPH
Energy-efficient collaborative sensing with mobile phones.,INFOCOM
What is the importance of selecting features for non-technical losses identification?,ISCAS
Predictions and Challenges for Database Systems in the Year 2000.,VLDB
Coordination in network security games.,INFOCOM
Enabling entity-based aggregators for web 2.0 data.,WWW
Energy function based neural networks UPFC for transient stability enhancement of network-preserving power systems.,ISCAS
Real-time simulation in the real world (panel session).,SIGGRAPH
Social search and discovery using a unified approach.,WWW
Run-Time Programming of Analog Circuits Using Floating-Gate Transistors.,ISCAS
User Interaction Experience for Semantic Web Information.,WWW
A versatile I/O with robust impedance calibration for various memory interfaces.,ISCAS
The Integrated Microbial Genomes (IMG) System: A Case Study in Biological Data Management.,VLDB
The Theory of Probabilistic Databases.,VLDB
Design and optimization of two motion detection circuits for video monitoring system.,ISCAS
Realistic and interactive image-based rendering of ancient chinese artifacts using a multiple camera array.,ISCAS
Recovery and Coherency-Control Protocols for Fast Intersystem Page Transfer and Fine-Granularity Locking in a Shared Disks Transaction Environment.,VLDB
The V*-Diagram: a query-dependent approach to moving KNN queries.,VLDB
Digital RF Processing Techniques for Device Mismatch Tolerant Transmitters in Nanometer-Scale CMOS.,ISCAS
Cooperative Network Coding-Aware Routing for Multi-Rate Wireless Networks.,INFOCOM
A logical framework for temporal deductive databases.,VLDB
Manage and Query Generic Moving Objects in SECONDO.,VLDB
How to reach 100% coding efficiency in multilevel burst-mode RF transmitters.,ISCAS
Fast Reconfiguration Experiments of an Optically Differential Reconfigurable Gate Array with Nine Configuration Contexts.,ISCAS
Towards a comprehensive and systematic classification of hardware Trojans.,ISCAS
An inductively tuned CMOS astable multivibrator.,ISCAS
"dRig: an artist-friendly, object-oriented approach to rig building.",SIGGRAPH
The web beyond popularity: a really simple system for web scale RSS.,WWW
A CMOS linear voltage/current dual-mode imager.,ISCAS
Model and Architecture of a Timing Service for Adaptive Policy-Based Management Systems.,INFOCOM
Frequency Response Masking based Reconfigurable Channel Filters for Software Radio Receivers.,ISCAS
Partitioning and synthesis for hybrid architecture simulators.,ISCAS
A parallel search algorithm for CLNS addition optimization.,ISCAS
Instrumenting a logic programming language to gather provenance from an information extraction application.,WWW
SMOOTH - A Distributed Multimedia Database System.,VLDB
Loop mitigation in bloom filter based multicast: A destination-oriented approach.,INFOCOM
Influence of external input on Oscillatory Cellular Nonlinear Networks dynamics.,ISCAS
Efficient design of sparse FIR filters in WLS sense.,ISCAS
A metro map metaphor for guided tours on the Web: the Webvise guided tour system.,WWW
GPX: Interactive Mining of Gene Expression Data.,VLDB
"Video sharing propagation in social networks: Measurement, modeling, and analysis.",INFOCOM
Variable fractional delay FIR filters with sparse coefficients.,ISCAS
Hexahedral Mesh Re-parameterization from Aligned Base Domains,SIGGRAPH
The largest scholarly semantic network...ever.,WWW
iPvlc: pixel-level visible light communication for smart mobile devices.,SIGGRAPH
New FPN correction method for PD-storage dual-capture CMOS image sensor using a nonfully depleted pinned photodiode.,ISCAS
Dissemination of Models over Time-Varying Data.,VLDB
Application of two-layered tabu search to optimal allocation of UPFC for maximizing transmission capability.,ISCAS
Enhancing Traffic Sampling scope and efficiency.,INFOCOM
Low phase noise on-chip oscillator for implantable biomedical applications.,ISCAS
CodePipe: An opportunistic feeding and routing protocol for reliable multicast with pipelined network coding.,INFOCOM
On Hybrid Collision Control for IEEE 802.11 Ad-Hoc Networks.,INFOCOM
Challenges and recent advances in IR-UWB system design.,ISCAS
Shape transformation for polyhedral objects.,SIGGRAPH
A flexible generative model for preference aggregation.,WWW
Characterizing geospatial dynamics of application usage in a 3G cellular data network.,INFOCOM
Noise Reduction System Based on LPEF and System Identification with Variable Step Size.,ISCAS
A full-custom design of AES SubByte module with signal independent power consumption.,ISCAS
A time-efficient information collection protocol for large-scale RFID systems.,INFOCOM
2-MITE Product-of-Power-Law Networks.,ISCAS
Filtering with Approximate Predicates.,VLDB
Estimating the prevalence of deception in online review communities.,WWW
Bounding the power rate function of wireless ad hoc networks.,INFOCOM
Data Broadcasting and Seamless Channel Transition for Highly-Demanded Videos.,INFOCOM
MMSE-based design of scaled and offset BP-based decoding algorithms on the fast Rayleigh fading channel.,ISCAS
News in the age of the web.,WWW
Polygon-assisted JPEG and MPEG compression of synthetic images.,SIGGRAPH
Unsupervised query segmentation using click data: preliminary results.,WWW
Modeling and understanding TCP incast in data center networks.,INFOCOM
A Low Jitter CMOS PLL Clock Synthesizer with 20-400 MHz Locking Range.,ISCAS
BSSRDF importance sampling.,SIGGRAPH
Extraction of robust visual phrases using graph mining for image retrieval.,ISCAS
A Singlehop Collaborative Feedback Primitive for Wireless Sensor Networks.,INFOCOM
Highly parallel image coding for many cores.,ISCAS
Protocol-level performance analysis for anti-collision protocols in RFID systems.,ISCAS
Distance Indexing on Road Networks.,VLDB
Reconfigurable cell array for concurrent support of multiple radio standards by flexible mapping.,ISCAS
Creating Competitive Products.,VLDB
Sensory design for virtual environments.,SIGGRAPH
Optimal Bandwidth Reservation in Hose-Model VPNs with Multi-Path Routing.,INFOCOM
Optimal Waveband Switching in Optical Ring Networks.,INFOCOM
Exploiting channel memory for joint estimation and scheduling in downlink networks.,INFOCOM
Multiuser detection based on Grover's algorithm.,ISCAS
Impact of File Arrivals and Departures on Buffer Sizing in Core Routers.,INFOCOM
Towards a theory model for product search.,WWW
Fourier series analysis of the nonlinearities in analog closed-loop PWM class D amplifiers.,ISCAS
Data fusion - Resolving Data Conflicts for Integration.,VLDB
Argus: End-to-end service anomaly detection and localization from an ISP's point of view.,INFOCOM
Signal modulus design for blind source separation via algebraic known modulus algorithm: A perturbation perspective.,ISCAS
Small-World File-Sharing Communities.,INFOCOM
Local Disk Caching for Client-Server Database Systems.,VLDB
A novel polynomial selection scheme for low-complexity chase algebraic soft-decision reed-solomon decoding.,ISCAS
Autonomous resource provisioning for multi-service web applications.,WWW
An improved soft BCH decoder with one extra error compensation.,ISCAS
Routing in Overlay Multicast Networks.,INFOCOM
A Ku-band down-converter with perfect differential PLL in 0.18um CMOS.,ISCAS
The Design of Symmetric Square-Root Pulse-Shaping Filters for Transmitters and Receivers.,ISCAS
Design of concurrent multi-band matching networks.,ISCAS
Just the right amount: extracting modules from ontologies.,WWW
Distributed Querying of Internet Distance Information.,INFOCOM
Non-causal error control for wireless video streaming with noncoherent signaling.,ISCAS
Steel life.,SIGGRAPH
A simulation of pearl optical phenomena for cosmetic preproduction.,SIGGRAPH
"The gRNA: A Highly Programmable Infrastructure for Prototyping, Developing and Deploying Genomics-Centric Applications.",VLDB
Foundations of Uncertain-Data Integration.,VLDB
Progressive lossless compression of arbitrary simplicial complexes.,SIGGRAPH
Potter's Wheel: An Interactive Data Cleaning System.,VLDB
Revisiting the Absolutely Minimal Realization for Two-dimensional Digital Filters.,ISCAS
Automated synthesis of executable web service compositions from BPEL4WS processes.,WWW
Online Dynamic Reordering for Interactive Data Processing.,VLDB
An Efficient Implementation of a Relational Data Base.,VLDB
A Buyers Integration Support System based on Users' Multi Attribute Utilities for Internet Group Buying.,WWW
Making use of social media data in public health.,WWW
Designing efficient DSP datapaths through compiler-in-the-loop exploration methodology.,ISCAS
On Integrating Fluid Models with Packet Simulation.,INFOCOM
Data versioning techniques for internet transaction management.,WWW
Tapered-VTH CMOS buffer design for improved energy efficiency in deep nanometer technology.,ISCAS
Distributed Power Control For Cellular Networks In the Presence of Rayleigh Fading Channel.,INFOCOM
Autonomous lighting agents in global illumination.,SIGGRAPH
Searching Large Lexicons for Partially Specified Terms using Compressed Inverted Files.,VLDB
The ScratchPad: sensemaking support for the web.,WWW
Accurate web recommendations based on profile-specific url-predictor neural networks.,WWW
Tree Pattern Aggregation for Scalable XML Data Dissemination.,VLDB
Towards a Deeper Understanding of Link Restoration Algorithms for Mesh Networks.,INFOCOM
An eye detection technique for clock and data recovery applications.,ISCAS
Comparison of time and frequency domain interpolation implementations for MB-OFDM UWB transmitters.,ISCAS
Tuning parameters of the expected reciprocal rank.,WWW
"Prevention of Deadlocks and Livelocks in Lossless, Backpressured Packet Networks.",INFOCOM
Stable but responsive cloth.,SIGGRAPH
A service creation environment based on end to end composition of Web services.,WWW
A pMOS-based double-ladder integrated charge pump for standard process.,ISCAS
An alias-locked loop frequency synthesis architecture.,ISCAS
"Industrial Panel on Data Warehousing Technologies: Experiences, Challenges, and Directions.",VLDB
The SAGE graphics architecture.,SIGGRAPH
Temporal Management of RFID Data.,VLDB
A new four-modulus RNS to binary converter.,ISCAS
VoteTrust: Leveraging friend invitation graph to defend against social network Sybils.,INFOCOM
Fast computation of shadow boundaries using spatial coherence and backprojections.,SIGGRAPH
A Converter with Fixed Switching Frequency Adaptive Multi-Mode Control Scheme.,ISCAS
Quality of Field Reconstruction in Sensor Networks.,INFOCOM
"Interactions, Competition and Innovation in a Service-Oriented Internet: An Economic Model.",INFOCOM
An asynchronous spike event coding scheme for programmable analog arrays.,ISCAS
CerFix: A System for Cleaning Data with Certain Fixes.,VLDB
Optimization for packet routing using chaotic dynamics.,ISCAS
Reducing spurious PLL tones in spectrum sensing architectures.,ISCAS
A piezoelectric actuator driver circuit for automatic focusing of mobile phone cameras.,ISCAS
"Set Containment Joins: The Good, The Bad and The Ugly.",VLDB
PixelFlow: high-speed rendering using image composition.,SIGGRAPH
Thermal aware clock synthesis considering stochastic variation and correlations.,ISCAS
Rewriting XPath Queries Using Materialized Views.,VLDB
Effective multi-standard macroblock prediction VLSI design for reconfigurable multimedia systems.,ISCAS
Low-voltage CMOS syllabic-companding log domain filter.,ISCAS
The Unified Logging Infrastructure for Data Analytics at Twitter.,VLDB
The Case for Non-Cooperative Multihoming of Users to Access Points in IEEE 802.11 WLANs.,INFOCOM
P<sup>2</sup>E-DWT: A parallel and pipelined efficient VLSI architecture of 2-D Discrete Wavelet Transform.,ISCAS
ZF-DFE transceiver for time-varying MIMO channels with channel-independent temporal precoder.,ISCAS
Record Linkage with Uniqueness Constraints and Erroneous Values.,VLDB
Socially-Aware Network Design Games.,INFOCOM
UWB LNAs for Ground Penetrating Radar.,ISCAS
Analysis of a Packet Switch with Memories Running at Slower than the Line Rate.,INFOCOM
Design and modeling of on-chip monolithic transformers with patterned ground shield.,ISCAS
A dynamic latched comparator for low supply voltages down to 0.45 V in 65-nm CMOS.,ISCAS
Texture synthesis over arbitrary manifold surfaces.,SIGGRAPH
Generic sensing hardware and real-time reconstruction for structured analog signals.,ISCAS
"Fast Similarity Search in the Presence of Noise, Scaling, and Translation in Time-Series Databases.",VLDB
The Design of GridDB: A Data-Centric Overlay for the Scientific Grid.,VLDB
An Experiment in Dedicated Data Management.,VLDB
Multi-strategy object tracking in complex situation for video surveillance.,ISCAS
Acquisition of large-scale surface light fields.,SIGGRAPH
Towards a highly-scalable and effective metasearch engine.,WWW
A Wide Dynamic Range High Linearity In-pixel Data Acquisition Front-end for Computed Tomography.,ISCAS
A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System.,VLDB
Warmth through the night.,SIGGRAPH
Fighting the bufferbloat: On the coexistence of AQM and low priority congestion control.,INFOCOM
Extracting Large-Scale Knowledge Bases from the Web.,VLDB
TELESAR V: TELExistence surrogate anthropomorphic robot.,SIGGRAPH
OntoWiki mobile: knowledge management in your pocket.,WWW
Fine-grained privilege separation for web applications.,WWW
Optimality and Scalability in Lattice Histogram Construction.,VLDB
Detection of on-chip temperature gradient using a 1.5V low power CMOS temperature sensor.,ISCAS
Inspector Joins.,VLDB
The utility of tweeted URLs for web search.,WWW
Many-to-Many Communication: A New Approach for Collaboration in MANETs.,INFOCOM
Feature-based cellular texturing for architectural models.,SIGGRAPH
Massive Stochastic Testing of SQL.,VLDB
"Artificial fishes: physics, locomotion, perception, behavior.",SIGGRAPH
Smoothing polyhedra using implicit algebraic splines.,SIGGRAPH
An Evaluation on Using Preference Clustering in Large-Scale Multicast Applications.,INFOCOM
"Optimization method for the joint allocation of modulation schemes, coding rates, resource blocks and power in self-organizing LTE networks.",INFOCOM
CASIS: a system for concept-aware social image search.,WWW
Semantic similarity between search engine queries using temporal correlation.,WWW
An FPGA-based point target detection system using morphological clutter elimination.,ISCAS
Why is 3-D interaction so hard and what can we really do about it?,SIGGRAPH
A high performance pseudo-multi-core ECC processor over GF(2<sup>163</sup>).,ISCAS
Locating sensors in the forest: A case study in GreenOrbs.,INFOCOM
Flash finally hits the big screen.,SIGGRAPH
SHARC: Framework for Quality-Conscious Web Archiving.,VLDB
"Pricing, Competition, and Routing for Selfish and Strategic Nodes in Multi-Hop Relay Networks.",INFOCOM
An Adaptive Hash Join Algorithm for Multiuser Environments.,VLDB
Upward Max Min Fairness.,INFOCOM
Channel assignment in dense MC-MR wireless networks: Scaling laws and algorithms.,INFOCOM
Creating a billion-scale searchable web archive.,WWW
Hyperqueries: Dynamic Distributed Query Processing on the Internet.,VLDB
WIC: A General-Purpose Algorithm for Monitoring Web Information Sources.,VLDB
Stereoscopic learning for disparity estimation.,ISCAS
Lexicographically Optimal Balanced Networks.,INFOCOM
A multiband concurrent sampling based RF front end for biotelemetry applications.,ISCAS
Multi layer based rate control algorithm for HEVC.,ISCAS
Face gender recognition with halftoning-based adaboost classifiers.,ISCAS
Real time design and animation of fractal plants and trees.,SIGGRAPH
idMesh: graph-based disambiguation of linked data.,WWW
Investigation of partial query proximity in web search.,WWW
Empirical Comparison of Database Concurrency Schemes.,VLDB
Memory efficient layered decoder design with early termination for LDPC codes.,ISCAS
Video decoder embedded with temporal LMMSE denoising filter.,ISCAS
Experimental study of leakage-delay trade-off in Germanium pMOSFETs for logic circuits.,ISCAS
A demo search engine for products.,WWW
Throughput Analysis of Multiple Access Relay Channel under Collision Model.,INFOCOM
PSRR of bridge-tied load PWM Class D Amps.,ISCAS
The synthesis of cloth objects.,SIGGRAPH
Security using Shannon-Fano-Elias Codes.,ISCAS
Staying FIT: Efficient Load Shedding Techniques for Distributed Stream Processing.,VLDB
A low-power CMOS Gm-C filter for wireless receiver applications with on-chip automatic tuning system.,ISCAS
Flexible integer DCT architectures for HEVC.,ISCAS
Uncovering locally characterizing regions within geotagged data.,WWW
Datagram Routing Algorithm for LEO Satellite Networks.,INFOCOM
XML Full-Text Search: Challenges and Opportunities.,VLDB
Local Interpolation Filter Estimation for Fractional-pel Displacement Vector in Video Coding.,ISCAS
RSS-Ratio for enhancing performance of RSS-based applications.,INFOCOM
Similarity Join Size Estimation using Locality Sensitive Hashing.,VLDB
Automatic web image selection with a probabilistic latent topic model.,WWW
SPRING: A Strategy-proof and Privacy preserving spectrum auction mechanism.,INFOCOM
Botnet detection revisited: Theory and practice of finding malicious P2P networks via Internet connection graphs.,INFOCOM
Scheduling in Mobile Ad Hoc Networks with Topology and Channel-State Uncertainty.,INFOCOM
Low-Complexity Distributed Scheduling Algorithms for Wireless Networks.,INFOCOM
OLTP-Bench: An Extensible Testbed for Benchmarking Relational Databases.,VLDB
Releasing search queries and clicks privately.,WWW
Unconstrained regularized &#8467;p-norm based algorithm for the reconstruction of sparse signals.,ISCAS
The Kraft's Inequality of Scheduling for Packet-Switched Clos Networks.,INFOCOM
Architecture of the SOFIS Data Base Management System.,VLDB
Scaling Queries over Big RDF Graphs with Semantic Hash Partitioning.,VLDB
Proportional Bandwidth Allocation in DiffServ Networks.,INFOCOM
Generating diverse and representative image search results for landmarks.,WWW
Optimizing Energy-Latency Trade-Off in Sensor Networks with Controlled Mobility.,INFOCOM
EIOP: an e-commerce interoperability platform.,WWW
Optimizing Multi-Feature Queries for Image Databases.,VLDB
Scalable querying services over fuzzy ontologies.,WWW
Establishing Persistent Identity using the Handle System.,WWW
Superpipelined reconfigurable hardware for DSP.,ISCAS
HISA: A Query System Bridging The Semantic Gap For Large Image Databases.,VLDB
Modeling orientation selectivity using a neuromorphic multi-chip system.,ISCAS
Providing Throughput Differentiation for TCP Flows Using Adaptive TwoColor Marking and Multi-Level AQM.,INFOCOM
Soft error tolerant latch design with low cost for nanoelectronic systems.,ISCAS
Feature-based image metamorphosis.,SIGGRAPH
A dual-mode neural stimulator capable of delivering constant current in current-mode and high stimulus charge in semi-voltage-mode.,ISCAS
Battery-Aware Variable Voltage Scheduling on Real-Time Multiprocessor Platforms.,ISCAS
Simple circuit-based solution to problem of residential load participation in demand response.,ISCAS
Distributed large-scale natural graph factorization.,WWW
Designing collaborative games on handheld computers.,SIGGRAPH
Shading bicubic patches.,SIGGRAPH
Issues in the Design and Simulation of a MEMS VCO based Phase-Locked Loop.,ISCAS
RaSMaLai: A Randomized Switching algorithm for Maximizing Lifetime in tree-based wireless sensor networks.,INFOCOM
SNR measurement based on linearity test for ADC BIST.,ISCAS
A Tree-structured Non-uniform Filter Bank for Multi-standard Wireless Receivers.,ISCAS
A Non-uniform Resolution Step GHz 7-bit Flash A/D Converter for Wideband OFDM Signal Conversion.,ISCAS
An efficient mechanism of TCP-Vegas on mobile IP networks.,INFOCOM
SearchMobil: Web Viewing and Search for Mobile Devices.,WWW
Reduced Complexity Space-Time-Frequency Model for Multi-Channel EEG and Its Applications.,ISCAS
Semantic api matching for automatic service composition.,WWW
Check-Repeat: A new method of measuring DNSSEC validating resolvers.,INFOCOM
How do Superpeer Networks Emerge?,INFOCOM
On anonymizing query logs via token-based hashing.,WWW
A channel estimation scheme for Chinese DTTB system combating long echo and high doppler shift.,ISCAS
Perceptual-based coding mode decision.,ISCAS
"Rapid, stable fluid dynamics for computer graphics.",SIGGRAPH
Impact of ad impressions on dynamic commercial actions: value attribution in marketing campaigns.,WWW
